koi_disposition,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_time0bk,koi_impact,koi_duration,koi_depth,koi_prad,koi_teq,koi_model_snr,koi_tce_plnt_num,koi_srad
CONFIRMED,0,0,0,0,8.91901228,140.0777,0.619,4.141,180.6,1.84,1023,29.6,1,1.307
CANDIDATE,0,0,0,0,4.5620407,132.64295,0.925,2.8521,81.6,2.82,1533,22.8,1,2.506
CANDIDATE,0,0,0,0,7.5966998,131.95296,0.725,3.667,127.5,1.32,964,24.5,2,1.091
CONFIRMED,0,0,0,0,17.6700291,131.60103,0.932,6.693,348.4,2.89,778,25,1,1.247
CONFIRMED,0,0,0,0,108.593113,173.75198,0.007,7.989,338.2,1.68,374,24.3,1,0.921
CONFIRMED,0,0,0,0,19.9865916,135.52265,0.962,4.391,648,4.22,720,21.8,1,1.238
CONFIRMED,0,0,0,0,12.12580644,142.10763,0.805,3.289,327.5,2.5,851,14,2,1.238
CANDIDATE,0,0,0,0,76.421501,164.4879,0.015,7.218,578.4,2.81,455,23.9,1,1.19
CONFIRMED,0,0,0,0,56.2590881,164.21993,0.026,8.114,348.8,2.22,543,29.7,5,1.191
CONFIRMED,0,0,0,0,1.646801683,132.0615,0.129,1.1966,284.2,0.86,806,25.2,1,0.513
CONFIRMED,0,0,0,0,3.78861833,134.61419,0.183,2.808,143.4,1.23,1158,18.2,1,1.04
CONFIRMED,0,0,0,0,10.45839865,137.65416,0.009,3.154,306.8,1.25,609,18.6,1,0.747
CANDIDATE,0,0,0,0,95.6114617,138.35664,0.046,7.489,487.4,2.37,421,21.6,1,1.081
CONFIRMED,0,0,0,0,11.8984948,133.34685,0.836,3.015,130.9,1.69,929,15.9,3,1.307
CONFIRMED,0,0,0,0,5.132486123,132.15985,0.217,1.4575,908.4,1.69,584,35.4,1,0.578
CANDIDATE,0,0,0,0,8.77997349,138.48383,0.481,3.2201,755.7,2.12,713,32.7,1,0.764
CONFIRMED,0,0,0,0,10.66489514,132.00872,0.308,3.159,292.6,1.76,865,25.3,1,1.021
CONFIRMED,0,0,0,0,5.1233204,132.08472,0.308,2.7466,286.2,1.65,994,25.1,1,0.982
CONFIRMED,0,0,0,0,61.6174528,179.08282,0.091,3.816,1350.7,3.36,424,19.5,1,0.931
CONFIRMED,0,0,0,0,24.3398202,136.05813,0.928,3.891,777.3,5.09,737,27.8,1,1.466
CONFIRMED,0,0,0,0,1.755843555,133.15509,0.893,1.9425,386,1.94,1343,25.1,1,0.829
CONFIRMED,0,0,0,0,5.18560081,132.32455,0.012,4.054,252.6,2.34,1314,27.6,1,1.471
CONFIRMED,0,0,0,0,33.4698571,140.14977,0.876,4.749,370.7,2.45,609,23.2,1,1.094
CONFIRMED,0,0,0,0,11.89520436,132.8908,0.067,3.433,184.3,1.33,787,22.3,1,0.992
CONFIRMED,0,0,0,0,5.60013327,135.96495,0.046,2.6508,329.2,1.73,952,22.8,1,0.978
CONFIRMED,0,0,0,0,25.2034128,137.56393,0.168,4.515,697.1,2.42,600,22.3,1,0.921
CANDIDATE,0,0,0,0,1.615357809,132.7846,0.931,1.1435,499.6,1.37,806,31.2,1,0.486
CONFIRMED,0,0,0,0,5.640676975,138.556259,0.033,2.8354,1453.3,4.59,1125,145.9,1,1.216
CONFIRMED,0,0,0,0,25.5638626,375.27811,0.85,4.685,1124.9,4,671,31.6,2,1.049
CANDIDATE,0,0,0,0,6.78341325,136.10468,0.665,3.5437,501.2,20.75,2628,35.3,1,8.769
CONFIRMED,0,0,0,0,12.7945474,130.7668,0.18,3.4197,816.7,1.6,455,54.1,2,0.571
CANDIDATE,0,0,0,0,42.4269647,156.17194,0.962,5.907,632.4,3.44,496,26,1,1.013
CONFIRMED,0,0,0,0,1.434745129,132.62802,0.108,1.862,200.7,1.5,1664,28.4,1,1.064
CONFIRMED,0,0,0,0,3.28192056,132.42485,0.223,2.917,191,1.6,1326,24.5,1,1.162
CONFIRMED,0,0,0,0,5.45298742,134.15183,0.879,2.1328,86,0.92,904,21,1,0.842
CONFIRMED,0,0,0,0,4.45743267,132.16006,0.175,2.3226,175.7,0.79,732,20.8,1,0.612
CANDIDATE,0,0,0,0,2.81814715,132.25336,0.305,1.763,278.6,1.3,1059,16.5,1,0.787
CANDIDATE,0,0,0,0,0.76196247,132.78371,0.322,1.282,190.2,1.08,1638,18.3,2,0.787
FALSE POSITIVE,0,1,1,1,1.824649,147.482662,0.901,4.2285,3218.5,5.31,1508,184.3,1,0.793
CANDIDATE,0,0,0,0,3.70063251,133.16065,0.71,5.408,68.6,1.24,1329,29.8,1,1.404
CONFIRMED,0,0,0,0,7.63008196,137.07948,0.628,2.78,124,1.39,1056,18.6,2,1.191
CANDIDATE,0,0,0,0,9.76293284,139.15802,0.499,3.064,553.2,1.94,703,23.6,1,0.816
CONFIRMED,0,0,0,0,58.601926,137.66825,0.392,5.522,396.4,2.06,508,19.1,1,1.019
CONFIRMED,0,0,0,0,25.0823402,134.13568,0.865,6.423,244.6,2.26,776,30.5,1,1.262
CONFIRMED,0,0,0,0,78.0998908,139.49646,0.528,8.422,656.9,3.37,480,23.8,1,1.284
CANDIDATE,0,0,0,0,2.19251903,132.2332,0.616,1.845,18.1,0.37,1225,6.6,4,0.842
CONFIRMED,0,0,0,0,3.53232429,134.74727,0.299,2.765,224.2,1.43,1159,12.8,1,0.956
FALSE POSITIVE,0,1,1,1,15.03946326,144.137461,0.902,5.1008,5237.7,12.36,962,181.6,1,1.441
CANDIDATE,0,0,0,0,10.44087398,137.97113,0.914,3.743,821.5,3.41,829,22.2,1,0.981
CANDIDATE,0,0,0,0,39.7557642,150.60745,1.219,1.958,621.8,13.72,325,10.2,2,0.511
CANDIDATE,0,0,0,0,10.27127527,135.17631,0.046,3.029,343.5,0.94,510,17.5,1,0.511
CONFIRMED,0,0,0,0,12.5722897,143.0663,0.252,4.765,86.5,1.09,886,12.4,1,1.169
CONFIRMED,0,0,0,0,40.8366307,152.87346,0.363,4.956,264.8,1.5,496,18.7,1,0.925
FALSE POSITIVE,0,0,1,1,11.7761073,142.70558,0.829,2.829,281.3,1.31,619,15.1,1,0.689
CANDIDATE,0,0,0,0,20.6180348,145.51232,0.155,3.267,769.5,1.57,359,16.3,2,0.576
CONFIRMED,0,0,0,0,19.9401211,142.34849,0.862,4.283,758.9,2.42,588,18,1,0.763
CONFIRMED,0,0,0,0,22.2420032,144.72364,0.897,7.532,63.5,2.04,954,16.2,1,2.164
CANDIDATE,0,0,0,0,3.88148385,135.12314,0.252,2.679,36.3,0.59,1156,11.9,1,0.979
CONFIRMED,0,0,0,0,0.577369336,132.425795,0.032,1.0852,400.4,1.42,1757,68.3,1,0.716
CONFIRMED,0,0,0,0,12.72037026,178.528297,0.787,2.7306,1180.1,4.75,934,485.5,1,1.258
CANDIDATE,0,0,0,0,11.96407399,133.15804,0.903,4.526,784.2,3.21,808,22.9,1,0.961
FALSE POSITIVE,0,0,1,0,2.493237866,132.63633,0.975,2.644,259.2,9.48,2241,20.7,1,4.131
CONFIRMED,0,0,0,0,9.99115241,134.39335,0.691,2.657,391.7,1.68,660,16.7,2,0.796
CANDIDATE,0,0,0,0,4.267961416,134.07063,0.255,1.3427,127.4,1.42,1371,24.6,1,1.237
FALSE POSITIVE,0,1,0,0,0.925589891,169.69275,0.616,1.967,400.8,50.6,6637,20.6,1,24.488
CONFIRMED,0,0,0,0,17.25121397,149.886479,0.749,2.0371,2054.8,2.64,385,68.6,2,0.537
FALSE POSITIVE,1,0,1,0,1.867281146,132.07744,1.252,7.495,701.1,31.18,1561,58.5,1,1.025
CANDIDATE,0,0,0,0,9.30991834,136.39785,0.551,3.455,114.5,1.21,913,19.2,1,1.101
CANDIDATE,0,0,0,0,3.98864999,134.8296,0.355,3.516,94.2,1.15,1233,12.4,1,1.188
CANDIDATE,0,0,0,0,2.524017517,133.85946,0.077,1.1968,303,1.5,1203,19.8,1,0.871
CANDIDATE,0,0,0,0,25.1123362,146.3464,0.007,7.922,398.8,2.22,691,11.8,1,1.112
CANDIDATE,0,0,0,0,3.55557922,132.75203,0.269,3.24,60.4,0.84,1270,15.5,1,1.082
CONFIRMED,0,0,0,0,22.5968256,140.42654,0.062,6.179,142.9,1.3,670,22.2,1,1.104
CONFIRMED,0,0,0,0,45.3486381,142.25049,0.847,4.858,162.9,1.61,531,15.9,2,1.104
CANDIDATE,0,0,0,0,5.25419589,133.72952,0.007,2.9878,461.8,2.12,1093,26.1,1,0.987
CONFIRMED,0,0,0,0,12.4128518,140.35679,0.711,4.298,108.1,1.5,933,19.4,1,1.346
CANDIDATE,0,0,0,0,3.92453009,132.40179,0.112,3.691,463.5,1.82,1074,25.3,1,0.849
CANDIDATE,0,0,0,0,11.60653061,134.41637,0.024,2.194,771.7,1.88,584,17.8,1,0.701
CONFIRMED,0,0,0,0,2.66831274,131.68823,0.333,2.4141,266.2,1.48,1252,23.3,1,0.899
CONFIRMED,0,0,0,0,23.4772553,145.3641,0.013,6.735,141.4,1.34,738,17.6,1,1.121
CONFIRMED,0,0,0,0,66.5576728,181.3241,0.254,10.532,214.2,4.96,757,21.3,1,3.405
FALSE POSITIVE,0,0,1,0,2.01948607,132.9238,0.977,5.248,275.4,2.15,1430,27.9,1,0.944
FALSE POSITIVE,0,0,1,1,3.04468229,132.464,0.623,5.951,71.4,0.86,1244,22.2,1,0.98
FALSE POSITIVE,0,0,1,0,15.05028313,141.53522,0.3125,1.848,615.2,2.46,735,13.4,1,0.989
CONFIRMED,0,0,0,0,2.455240626,170.821762,0.144,1.72722,36912,10.6,730,1341.6,1,0.568
CONFIRMED,0,0,0,0,9.08233411,139.65489,0.262,2.008,296.9,1.35,734,15.8,1,0.788
FALSE POSITIVE,0,0,1,0,0.790539912,131.87702,0.008,1.0567,277.3,1.24,1502,31.5,1,0.767
FALSE POSITIVE,1,0,1,0,0.532086296,131.9134,1.199,4.023,495.8,16.99,1790,85.2,1,0.698
CANDIDATE,0,0,0,0,47.7052566,146.3164,0.918,5.959,1161.5,2.89,347,22.8,1,0.672
CONFIRMED,0,0,0,0,6.238535444,171.706325,0.008,3.5255,401.6,2.53,1185,274.5,2,1.258
CONFIRMED,0,0,0,0,9.95667035,136.5827,0.949,3.534,586.8,3.41,946,16.8,1,1.115
CONFIRMED,0,0,0,0,10.41728722,137.45784,0.12,4.125,210.4,1.64,870,20.3,1,1.151
CONFIRMED,0,0,0,0,0.663085361,131.97961,0.841,1.1522,322.7,1.6,1681,35.3,1,0.767
CONFIRMED,0,0,0,0,19.1187425,138.42824,0.74,6.805,217.5,2.33,823,20.5,1,1.463
FALSE POSITIVE,0,0,1,0,1.08749101,131.77034,0.979,1.6192,126.4,4.91,3081,33.5,1,3.204
FALSE POSITIVE,0,0,1,0,1.183818383,131.88403,0.17,1.393,84.3,0.91,1775,12.7,1,0.992
CONFIRMED,0,0,0,0,3.543919702,136.26075,0.022,1.8717,507,1.21,652,38.2,4,0.537
CANDIDATE,0,0,0,0,8.28157072,136.25775,0.042,3.1,139.2,1.37,956,12.9,1,1.175
CANDIDATE,0,0,0,0,0.82628442,132.26993,0.28,0.9603,134.9,0.96,1629,25.6,1,0.829
CANDIDATE,0,0,0,0,6.37705295,136.91384,0.234,1.949,502.8,2.15,935,17.9,1,0.965
CONFIRMED,0,0,0,0,8.83929462,135.54125,0.924,1.719,316.2,1.94,778,14.8,1,0.87
FALSE POSITIVE,0,1,1,0,0.631795416,132.53963,0.433,1.0703,145.2,1.88,2797,24.7,1,1.519
CONFIRMED,0,0,0,0,7.56126152,135.6368,0.253,2.851,180.6,1.2,891,15.7,1,0.895
CONFIRMED,0,0,0,0,34.9897847,144.20912,0.034,4.208,498.5,1.14,292,11.5,1,0.521
CONFIRMED,0,0,0,0,7.05429483,136.18961,0.48,1.716,359.3,1,497,11.2,2,0.521
CANDIDATE,0,0,0,0,2.27050106,133.54216,0.473,1.903,106.7,0.55,903,15.9,1,0.528
CONFIRMED,0,0,0,0,45.126216,165.42066,0.49,6.656,373.1,2.32,604,17.1,1,1.169
CONFIRMED,0,0,0,0,11.94019101,136.55603,0.348,2.866,631.7,1.86,625,15.6,1,0.748
FALSE POSITIVE,0,0,1,1,3.51295674,133.78198,0.499,3.06,83.1,1.1,1434,22.5,1,1.17
CONFIRMED,0,0,0,0,6.73808701,133.32953,0.148,2.591,92.9,0.73,786,14.4,1,0.769
FALSE POSITIVE,0,0,1,0,7.57571414,138.2166,0.413,2.357,418.5,2.45,1075,12.8,1,1.171
FALSE POSITIVE,0,1,1,0,4.76887671,132.09888,0.654,1.672,115.8,2.11,1532,20,1,1.855
CANDIDATE,0,0,0,0,1.347512632,132.127858,1.252,1.9817,2651.8,23.45,1346,88.7,1,0.685
FALSE POSITIVE,0,0,1,1,0.512581697,132.80609,0.283,1.5789,259.1,1.32,2009,45.2,1,0.82
FALSE POSITIVE,0,0,1,0,12.07760884,140.46287,0.264,2.233,151,1.03,708,14,1,0.845
CANDIDATE,0,0,0,0,18.55581565,132.07105,0.073,5.372,565.9,20.83,1793,33.2,1,8.841
CANDIDATE,0,0,0,0,13.33094869,133.78632,1.199,1.426,725.6,25.95,815,17.1,1,1.039
FALSE POSITIVE,0,0,0,1,6.38315744,132.30539,0.029,1.7075,1112.6,2.35,787,23.8,1,0.714
CONFIRMED,0,0,0,0,27.52194772,189.824523,0.35,4.047,2312.8,2.47,314,106.5,1,0.511
CONFIRMED,0,0,0,0,16.1289679,143.75518,0.968,6.271,389,2.94,715,21.3,1,1.087
CONFIRMED,0,0,0,0,16.2959916,133.90784,0.213,2.116,369.6,1.83,678,15.7,1,0.961
CONFIRMED,0,0,0,0,4.16056658,132.27418,0.069,2.61,75.8,0.7,985,16.3,1,0.815
FALSE POSITIVE,0,0,1,0,2.93101771,131.92959,0.523,2.231,199.1,1.15,1134,15,1,0.788
CONFIRMED,0,0,0,0,39.79220077,175.250558,0.019,4.466,610.4,1.9,458,179.5,1,0.781
FALSE POSITIVE,0,1,1,1,16.2276756,136.62586,0.633,3.699,525.8,2.11,648,20.5,1,0.883
FALSE POSITIVE,0,0,1,0,1.595630597,136.13782,1.21,1.793,259.6,17.94,1346,18.3,1,0.729
CANDIDATE,0,0,0,0,20.49041,144.41979,0.011,4.369,661.8,2.34,625,23.3,1,0.923
CANDIDATE,0,0,0,0,11.1296971,138.57573,0.572,2.942,371,1.93,843,14.7,1,0.964
CONFIRMED,0,0,0,0,3.11604194,133.84988,0.195,1.7763,345.2,1.59,1123,18.8,1,0.86
CANDIDATE,0,0,0,0,12.7372371,136.0162,0.364,3.358,100.8,0.87,697,12.9,1,0.868
CANDIDATE,0,0,0,0,40.0306267,148.85882,0.322,4.815,214.5,2.01,617,19.5,1,1.373
CONFIRMED,0,0,0,0,0.679336747,132.856178,0.209,1.2188,240.7,1.4,1883,36.7,1,0.913
FALSE POSITIVE,0,1,0,0,213.6103207,141.655562,0.977,10.7643,110990,46.07,291,534.5,1,0.845
FALSE POSITIVE,0,1,0,0,170.8658492,299.660385,0.684,16.9895,29841,24.4,387,897,1,1.324
FALSE POSITIVE,0,0,1,0,10.21507506,133.64546,0.1,3.395,258.6,1.5,780,17.4,1,0.95
CONFIRMED,0,0,0,0,31.0572947,147.56275,0.335,3.401,636.6,1.85,480,15.8,1,0.734
CONFIRMED,0,0,0,0,15.1622287,144.474,0.959,7.332,479.8,3.12,829,28.5,2,1.112
FALSE POSITIVE,0,0,1,0,12.2141545,141.3677,1.175,10.262,535.8,18.13,683,24.7,1,0.824
CANDIDATE,0,0,0,0,3.03267135,134.0668,0.238,1.774,42.4,0.6,1187,15.6,1,0.921
CONFIRMED,0,0,0,0,5.34182466,136.3186,0.07,3.577,70.5,0.95,1125,19.2,1,1.135
CONFIRMED,0,0,0,0,2.131945045,133.65547,0.209,1.8061,269.4,1.66,1418,22.9,1,1.013
CONFIRMED,0,0,0,0,12.9462567,139.4165,0.109,9.568,168.7,1.13,764,15.7,1,0.867
CANDIDATE,0,0,0,0,5.77957133,136.53014,0.946,2.5213,396.6,1.5,598,18.9,1,0.581
CANDIDATE,0,0,0,0,6.77367892,138.07568,0.228,3.579,150.7,1.33,1083,15.1,1,1.072
FALSE POSITIVE,1,0,0,0,89.465468,170.8426,0.931,9.88,67.9,2.57,549,5.7,1,2.46
CONFIRMED,0,0,0,0,18.0161227,145.24169,0.023,4.016,499.5,2.39,768,16.7,1,1.065
FALSE POSITIVE,0,1,1,1,40.8777605,163.43477,1.262,9.745,719.1,29.55,526,23.6,1,0.937
CANDIDATE,0,0,0,0,6.80243431,132.40355,1,3.817,249.1,2.6,895,14.9,1,0.816
CONFIRMED,0,0,0,0,21.30181863,191.84136,0.086,3.8763,87.3,0.72,564,32.4,2,0.781
CONFIRMED,0,0,0,0,4.14789051,135.53291,0.878,3.829,137.6,1.93,1389,16.4,1,1.417
CANDIDATE,0,0,0,0,19.0054098,144.15574,1.228,1.843,542.4,28.47,758,20.2,1,1.036
FALSE POSITIVE,0,0,1,0,1.96433113,131.65195,0.16,2.381,139.1,1.33,1638,14.2,1,1.121
CANDIDATE,0,0,0,0,2.81043228,133.40821,0.351,3.874,47.4,1.43,1701,17.8,1,2.079
CONFIRMED,0,0,0,0,0.968527683,131.50954,0.941,1.3672,114.6,1.21,1677,16.9,1,0.886
CANDIDATE,0,0,0,0,175.603366,202.3721,0.952,9.543,506.8,2.87,348,14.7,1,1.009
CANDIDATE,0,1,0,0,3.849371737,157.526686,0.915,2.632,1298.6,12.94,2034,132.7,1,2.992
FALSE POSITIVE,0,1,0,0,0.366197145,133.55969,0.319,1.2335,275.3,51.34,9983,16.7,1,31.5
CONFIRMED,0,0,0,0,4.164384505,171.087935,0.59,1.8464,2338,2.54,590,132.1,1,0.508
CONFIRMED,0,0,0,0,2.10433534,133.31612,0.872,1.1168,242.1,0.79,662,20.7,1,0.433
FALSE POSITIVE,0,1,0,0,1.378649746,169.780113,0.099,1.2232,22462,6.51,734,172.2,1,0.439
FALSE POSITIVE,0,0,1,0,1.112207126,131.8505,0.402,1.35,54.7,0.73,1797,13,1,0.972
FALSE POSITIVE,0,0,1,0,1.303576682,133.0758,0.08,1.021,245.5,1.51,1694,22.1,1,0.955
CONFIRMED,0,0,0,0,5.19103699,135.21628,0.117,4.222,290.1,1.92,1183,25.2,1,1.125
FALSE POSITIVE,0,0,1,0,4.79176993,134.03502,0.372,4.52,116.6,0.81,883,23,1,0.756
FALSE POSITIVE,0,0,0,1,0.759762021,131.79506,1.183,4.912,227,24.2,2280,65.3,1,1.123
CANDIDATE,0,0,0,0,4.790912471,132.01539,0.969,0.5134,360.7,2.25,717,17.6,1,0.676
CONFIRMED,0,0,0,0,6.49441464,132.25189,0.911,2.344,357.3,1.75,732,17.7,1,0.742
CONFIRMED,0,0,0,0,2.576571021,172.126911,0.187,1.5997,852.8,1.57,717,63.6,2,0.539
CONFIRMED,0,0,0,0,28.4750006,154.5706,0.835,4.718,763.8,2.64,489,21.4,1,0.831
CONFIRMED,0,0,0,0,14.7966306,142.74484,0.182,5.613,56.1,0.98,874,22.4,1,1.307
CONFIRMED,0,0,0,0,11.25401871,136.8901,0.603,4.759,433.4,2.42,888,17,1,1.118
CONFIRMED,0,0,0,0,9.18244299,134.04601,0.257,4.318,87.6,1.24,1052,20.3,1,1.314
FALSE POSITIVE,1,0,1,1,119.682075,176.0877,1.259,31.28,1704.1,30.39,351,38.1,1,0.911
CONFIRMED,0,0,0,0,42.9923284,162.50532,0.643,4.726,1120.1,3.32,496,34.1,1,0.945
CONFIRMED,0,0,0,0,6.88341278,172.66227,0.083,2.0674,487.4,2.63,1080,35.4,1,1.193
FALSE POSITIVE,0,1,0,0,4.593595496,134.88971,1.147,2.7468,45034,44.14,1022,92,1,0.884
CANDIDATE,0,0,0,0,197.5111484,272.3864,0.814,11.106,2575.6,9.52,391,175.2,1,1.674
CONFIRMED,0,0,0,0,11.1726723,140.00764,0.504,6.106,76.8,1.5,1019,17,3,1.674
CONFIRMED,0,0,0,0,2.53573284,133.01581,0.054,3.989,68,1.36,1671,25.5,2,1.674
CONFIRMED,0,0,0,0,11.8376933,142.21212,0.557,3.381,92.9,1,826,12.7,2,1.003
CONFIRMED,0,0,0,0,18.5525162,135.51322,0.78,4.385,771.5,2.53,612,17.2,1,0.829
CANDIDATE,0,0,0,0,47.3659328,175.0355,1.085,7.929,757,11.97,481,16,1,0.902
CANDIDATE,0,0,0,0,4.86634094,353.34131,0.895,1.885,366.7,1.94,881,15.2,2,0.831
CANDIDATE,0,0,0,0,5.60402307,133.82508,0.8,1.0273,224.9,1.25,774,20.6,1,0.737
CONFIRMED,0,0,0,0,13.0313583,144.11544,0.813,4.521,573.3,2.88,774,18.9,1,1.071
CONFIRMED,0,0,0,0,40.9905002,132.4136,0.048,7.336,297.3,2.41,627,15.4,1,1.41
CANDIDATE,0,0,0,0,57.2932309,146.23112,0.021,4.878,773.6,1.95,355,15.7,1,0.729
CONFIRMED,0,0,0,0,8.00504749,138.71228,0.054,3.32,187.5,1.52,1035,15.6,1,1.101
CONFIRMED,0,0,0,0,12.13070414,139.89855,0.083,3.843,211.2,1.61,901,15.3,3,1.101
CANDIDATE,0,0,0,0,29.2254372,143.98764,0.384,5.293,174.1,1.35,614,15.7,1,1.008
FALSE POSITIVE,0,1,1,1,40.8792243,163.41583,0.79,7.005,413.6,1.62,437,23.4,1,0.72
CONFIRMED,0,0,0,0,18.8262877,134.70322,0.198,2.344,795.8,2.34,591,19.9,1,0.845
CANDIDATE,0,0,0,0,13.9034057,143.52317,0.871,3.408,261.4,1.55,646,15.3,1,0.819
CONFIRMED,0,0,0,0,3.41045981,131.58062,0.971,2.866,136.2,1.06,892,22.5,3,0.651
CONFIRMED,0,0,0,0,4.76702759,132.69368,0.077,2.013,163.4,1.19,1046,14.3,1,0.937
CONFIRMED,0,0,0,0,13.62801048,135.45073,0.927,3.5374,912.8,3.28,639,26.7,1,0.855
CANDIDATE,0,0,0,0,53.3580444,138.38498,0.905,6.812,736.1,3.41,474,19.7,1,1.036
CONFIRMED,0,0,0,0,16.83203175,140.53041,0.533,4.031,326,1.86,690,21.6,1,1.008
FALSE POSITIVE,0,1,0,0,13.37499553,142.38153,0.045,1.639,458.1,2.01,703,16.9,1,0.961
FALSE POSITIVE,0,0,1,0,4.35370136,134.09426,0.535,1.913,168.9,1.33,1179,12.2,1,0.985
CANDIDATE,0,0,0,0,1.385787741,135.49119,0.35,1.6449,85.4,0.55,1008,19.1,1,0.6
CANDIDATE,0,0,0,0,12.02295362,136.20687,0.965,1.2667,778.6,3.28,776,20.1,1,0.879
CONFIRMED,0,0,0,0,18.59611518,141.26331,0.014,2.3052,813.8,1.53,371,27.6,4,0.539
CONFIRMED,0,0,0,0,5.77440326,132.96695,0.425,1.768,245.3,0.8,529,11.8,2,0.508
CONFIRMED,0,0,0,0,11.47685263,139.63194,0.07,2.756,240.6,1.58,796,16.5,1,1.032
CANDIDATE,0,0,0,0,73.711039,202.7848,0.284,10.062,136.7,1.77,563,21.1,1,1.502
CANDIDATE,0,0,0,0,14.43348326,143.60783,1.185,2.663,526.8,16.25,558,14.8,1,0.702
CANDIDATE,0,0,0,0,6.35705314,135.47756,0.023,1.324,272.2,1.59,990,17.3,1,0.96
FALSE POSITIVE,0,1,1,0,0.759706632,131.7692,0.52,1.0896,39.7,1.38,3834,21.6,1,2.094
CONFIRMED,0,0,0,0,4.37033233,131.92696,0.093,2.845,177.8,1.56,1191,17.7,1,1.182
FALSE POSITIVE,0,1,0,1,1.08070294,131.86686,0.688,3.363,145.6,1.04,1565,17.6,1,0.813
FALSE POSITIVE,0,0,0,1,4.74254518,133.13916,0.051,1.023,305.7,1.77,1118,13.2,1,1.007
FALSE POSITIVE,0,1,1,0,18.13559979,138.31557,1.194,2.019,452.7,24.49,744,16.4,1,1.038
CONFIRMED,0,0,0,0,3.70429015,132.21478,0.001,3.37,55.7,1.45,1839,15.9,1,1.927
CONFIRMED,0,0,0,0,37.3331165,162.90453,0.851,7.643,187.8,2.5,657,22.5,1,1.588
CANDIDATE,0,0,0,0,17.6997392,140.94958,0.105,2.76,752.7,1.96,523,19.8,1,0.742
CONFIRMED,0,0,0,0,6.03355539,137.121,0.35,10.049,89.5,3.34,1598,26.1,1,3.588
FALSE POSITIVE,0,0,1,1,0.933746783,131.51962,0.007,4.255,417.5,1.3,1309,62.8,1,0.663
FALSE POSITIVE,0,0,1,0,6.09740316,133.32402,1.2051,4.635,568.5,45.49,1826,14,1,1.828
CANDIDATE,0,0,0,0,0.754457729,134.983522,0.677,0.5891,248.2,2.07,2131,31.1,1,1.193
CONFIRMED,0,0,0,0,2.7612237,131.6081,0.238,3.681,66.8,1.84,2017,14.2,1,2.232
FALSE POSITIVE,0,0,1,0,62.6825769,182.22959,1.095,2.327,398.9,39.8,916,17.8,1,3.101
FALSE POSITIVE,0,1,1,0,50.5715805,161.11366,0.074,3.726,1282.6,2.74,406,19.9,1,0.783
CANDIDATE,0,0,0,0,16.2707207,145.097,1.187,5.707,468,28.42,827,13,1,1.244
CONFIRMED,0,0,0,0,2.032319072,132.32157,0.133,1.6762,315.5,1.87,1542,24.5,1,1.05
FALSE POSITIVE,0,1,0,0,4.100870416,168.1460533,0.938,8.15361,123520,82.46,1413,2619.2,1,1.51
CONFIRMED,0,0,0,0,4.35407371,132.85695,0.734,2.427,277.1,1.63,1043,19,2,0.909
CONFIRMED,0,0,0,0,13.71218522,135.51875,0.68,2.437,786.7,2.47,676,22.6,1,0.831
CANDIDATE,0,0,0,0,12.14684625,131.55623,0.687,6.197,70.7,1.75,1097,27.1,1,1.963
CONFIRMED,0,0,0,0,7.46718958,136.39348,0.486,3.633,75.7,1.04,1035,18.8,1,1.169
CONFIRMED,0,0,0,0,51.1319346,137.1568,0.829,6.019,382.3,2.43,542,19.6,1,1.107
CONFIRMED,0,0,0,0,9.549277089,175.757183,0.068,1.5832,1826.9,1.57,374,112.2,1,0.369
CANDIDATE,0,0,0,0,24.1073172,145.9415,0.693,10.465,104.2,2.74,1065,23.6,1,2.517
FALSE POSITIVE,0,0,1,0,1.228721184,133.49967,0.208,1.041,465.6,1.62,1324,26.4,1,0.764
CONFIRMED,0,0,0,0,4.69505576,133.93643,0.204,3.058,240,1.49,1098,15.9,1,0.959
FALSE POSITIVE,0,1,1,1,0.569115976,132.01945,0.068,2.028,796.9,1.8,1589,59.8,1,0.656
CONFIRMED,0,0,0,0,7.258450123,138.344691,0.05,5.7297,3714.7,5.53,880,288.6,1,0.92
FALSE POSITIVE,0,0,1,1,6.0959841,135.0254,0.657,10.39,112.7,0.99,988,29.2,1,0.885
CONFIRMED,0,0,0,0,22.9221181,133.66805,0.603,8.2,140.3,1.33,684,24,1,1.081
CONFIRMED,0,0,0,0,7.42697378,133.099,0.337,3.206,205.2,1.4,899,15.4,1,0.982
FALSE POSITIVE,0,1,1,0,5.46091846,131.66849,0.4,1.781,172,1.25,1106,21.2,1,0.93
CONFIRMED,0,0,0,0,3.17323012,133.69979,0.085,1.9094,204.5,0.88,830,21.4,1,0.633
CONFIRMED,0,0,0,0,5.398752862,173.858666,0.015,3.4303,346.5,2.21,1140,289.6,1,1.198
FALSE POSITIVE,0,0,1,1,5.26648126,131.6902,0.403,1.964,97.8,1.07,1155,16,1,1.065
FALSE POSITIVE,0,0,1,0,2.67596808,133.70492,0.115,2.021,420.6,1.57,998,17.5,1,0.795
CONFIRMED,0,0,0,0,7.41683033,137.96389,0.873,7.274,72.6,3.36,1425,20.6,1,3.324
CANDIDATE,0,0,0,0,0.727331746,132.37007,0.153,0.8323,357.4,0.67,849,20.4,1,0.356
