koi_disposition,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_time0bk,koi_impact,koi_duration,koi_depth,koi_prad,koi_teq,koi_model_snr,koi_tce_plnt_num,koi_srad
CONFIRMED,0,0,0,0,19.27153892,186.77093,0.031,2.7594,1219.8,1.93,393,37.1,1,0.56
CONFIRMED,0,0,0,0,10.06524317,136.28906,0.628,1.369,1053.3,1.91,488,30.3,2,0.56
CONFIRMED,0,0,0,0,12.3935651,178.74725,0.883,3.8896,916.6,2.66,677,35.8,1,0.75
CONFIRMED,0,0,0,0,43.84439721,151.93538,0.852,6.802,615.2,2.87,531,83.7,2,1.012
FALSE POSITIVE,0,1,1,0,3.341913228,171.63943,1.213,3.813,725.3,21.55,1032,39,1,0.811
CANDIDATE,0,0,0,0,1.626630225,169.820171,1.26,2.1145,1620.6,32.43,1547,103.6,1,0.973
CONFIRMED,0,0,0,0,60.4189369,181.16367,0.094,5.039,931.3,2.36,390,20.1,2,0.788
CONFIRMED,0,0,0,0,12.61190435,180.892284,0.55,5.1497,6105.6,7.4,753,277.2,1,0.919
FALSE POSITIVE,0,1,0,0,1.433769925,170.403536,1.268,1.8868,1976.3,46.58,1920,112.6,1,1.339
CONFIRMED,0,0,0,0,2.539183147,169.67494,0.238,2.4282,382.1,2.06,1332,38.9,1,1.062
CONFIRMED,0,0,0,0,6.770300385,170.57662,0.838,2.0844,1304,2.77,812,50.8,1,0.679
FALSE POSITIVE,0,1,1,1,0.444291966,169.865406,1.258,2.0792,10967,27.51,1836,299.7,1,0.636
CANDIDATE,0,0,0,0,10.181584,177.141891,0.92,3.5089,5741.1,7.73,812,183.6,1,0.836
CONFIRMED,0,0,0,0,20.06036336,147.46554,0.556,3.3203,1494.7,1.96,361,35.2,2,0.493
CONFIRMED,0,0,0,0,46.1842039,165.23729,0.013,4.758,1394.7,1.83,273,26,3,0.493
CONFIRMED,0,0,0,0,23.9800854,147.537,0.95,5.351,104,1.31,649,17.1,4,1.012
CONFIRMED,0,0,0,0,3.895936525,170.527552,0.524,2.3111,8544.8,7.34,1005,370.8,1,0.774
CONFIRMED,0,0,0,0,22.36646466,175.45862,0.4,5.228,986.8,2.32,536,32.1,1,0.734
CONFIRMED,0,0,0,0,1.625522174,170.8266564,0.076,2.38963,7969,9.73,1579,799.7,1,1.106
FALSE POSITIVE,1,0,1,0,7.544039,171.7982,1.175,6.222,322.6,17.47,838,14.2,2,0.824
CANDIDATE,0,0,0,0,9.02930689,177.20422,0.024,3.1449,1019.8,2.57,757,53.9,1,0.82
FALSE POSITIVE,0,1,0,0,10.32803571,174.581054,0.281,7.7915,16918,13.28,843,636.8,1,1.024
CONFIRMED,0,0,0,0,6.164876,135.63916,0.646,3.262,55.8,0.79,1021,14.4,3,1.012
CONFIRMED,0,0,0,0,60.32494216,243.892578,0.224,6.6188,20280,12.19,411,347.2,1,0.867
FALSE POSITIVE,0,0,1,1,1.540397253,170.50479,1.225,2.1541,816.1,25.69,1470,38.8,1,0.915
FALSE POSITIVE,0,0,1,1,2.99025443,171.9834,0.014,5.414,589.2,1.7,918,48.5,1,0.731
CONFIRMED,0,0,0,0,1.594745374,170.6483505,0.514,1.9604,15044,11.3,1539,1009.3,1,0.893
CANDIDATE,0,0,0,0,4.783002698,170.508434,0.003,2.335,1008.7,2.5,886,70.6,1,0.807
CONFIRMED,0,0,0,0,3.340218842,171.979062,0.466,1.9104,1632.6,2.03,656,71.6,1,0.493
FALSE POSITIVE,0,1,1,0,2.507089906,171.002455,1.255,2.0067,1339.2,30.26,1326,64.9,1,0.939
CONFIRMED,0,0,0,0,18.64932728,174.771,0.08,4.4056,893.6,3.12,701,46.1,1,1.053
CONFIRMED,0,0,0,0,9.75192101,138.78608,0.949,4.793,418,2.76,870,28.5,3,1.053
CONFIRMED,0,0,0,0,38.5576546,163.85063,0.911,5.794,993,4.02,550,39.7,2,1.053
CONFIRMED,0,0,0,0,3.525632539,170.0479951,0.12,2.59959,22335,11.58,975,1996.7,1,0.793
CONFIRMED,0,0,0,0,7.748094239,174.997206,0.517,3.5957,2472.1,5.52,964,113.2,1,1.085
CONFIRMED,0,0,0,0,8.11437482,176.33968,0.573,2.2736,1558,2.1,460,56.4,1,0.517
FALSE POSITIVE,0,1,0,0,38.03672948,196.934947,0.501,4.34617,82872,27.5,500,1300,1,0.932
FALSE POSITIVE,0,1,0,0,4.64090031,173.64638,1.28,35.512,2450.6,30.09,1155,296.9,1,0.826
CONFIRMED,0,0,0,0,14.74914825,138.77799,0.173,6.0995,430.2,2.89,874,107.4,1,1.402
CONFIRMED,0,0,0,0,21.81295996,174.01085,0.053,4.3791,1175.4,3.38,639,37.8,1,0.999
CONFIRMED,0,0,0,0,15.37562369,173.61402,0.692,3.3169,15337,11.01,600,166,1,0.833
CONFIRMED,0,0,0,0,8.10363271,176.9486,0.047,3.161,887.9,2.11,687,39.3,1,0.732
CONFIRMED,0,0,0,0,4.71510843,134.96178,0.258,2.506,417.5,1.46,823,21.3,2,0.732
CONFIRMED,0,0,0,0,6.365839713,171.13575,0.524,2.9721,780.7,2.44,914,70.8,1,0.849
CONFIRMED,0,0,0,0,3.04033046,169.9490106,0.736,1.8411,10859,8.99,1021,568.2,1,0.791
CONFIRMED,0,0,0,0,31.33046135,153.43031,0.798,5.176,5073.8,6.5,481,117.2,1,0.817
